Unnamed: 0,car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,unnamed:0
1,Maruti Alto,Maruti,Alto,9,53800,Dealer,CNG,Manual,26.83,796,38.4,5,235000,1
2,Maruti Alto,Maruti,Alto,11,11000,Dealer,CNG,Manual,26.83,796,38.4,5,185000,2
3,Maruti Alto,Maruti,Alto,11,80000,Dealer,CNG,Manual,26.83,796,38.4,5,150000,3
4,Maruti Alto,Maruti,Alto,10,57000,Dealer,CNG,Manual,26.83,796,38.4,5,172000,4
5,Maruti Alto,Maruti,Alto,11,72000,Individual,CNG,Manual,26.83,796,38.4,5,125000,5
6,Maruti Alto,Maruti,Alto,5,42000,Dealer,CNG,Manual,33.44,796,40.3,4,260000,6
7,Maruti Alto,Maruti,Alto,7,28000,Dealer,CNG,Manual,33.44,796,40.3,4,281000,7
8,Maruti Alto,Maruti,Alto,3,29000,Dealer,CNG,Manual,33.44,796,40.3,4,345000,8
9,Maruti Alto,Maruti,Alto,8,68000,Dealer,CNG,Manual,33.44,796,40.3,4,150000,9
10,Maruti Alto,Maruti,Alto,4,20700,Dealer,CNG,Manual,33.44,796,40.3,4,381000,10
14,Maruti Alto,Maruti,Alto,4,61000,Dealer,CNG,Manual,33.44,796,40.3,4,340000,11
15,Maruti Alto,Maruti,Alto,4,45000,Dealer,CNG,Manual,33.44,796,40.3,4,290000,12
16,Maruti Alto,Maruti,Alto,5,77658,Dealer,CNG,Manual,33.44,796,40.3,4,325000,13
17,Maruti Alto,Maruti,Alto,3,59000,Dealer,CNG,Manual,33.44,796,40.3,4,300000,14
18,Maruti Alto,Maruti,Alto,3,30112,Dealer,CNG,Manual,33.44,796,40.3,4,360000,15
19,Maruti Alto,Maruti,Alto,4,26000,Dealer,CNG,Manual,33.44,796,40.3,4,300000,16
20,Maruti Alto,Maruti,Alto,3,58000,Dealer,CNG,Manual,33.44,796,40.3,4,350000,17
